TA00020,TA00021,TA00023,TA00024,TA00025,TA00026,TA00027,TA00028,TA00029,TA00030,TA00054,TA00056,TA00057,TA00061,TA00064,TA00065,TA00066,TA00067,TA00068,TA00069,TA00070,TA00071,TA00072,TA00073,TA00074,TA00076,TA00077
0.1,0.6,0.04,0,0,0.04,0.06,7.65,0,0.14,0.1,0.42,0,0.02,8.24999999999999,19.05,0,0,5.61,13.65,12.6,9.4,1.4,0,1.94,5.47,27.25
0,42.4,0,0,0,0.74,0,0.03,0,1.43,0,0,0,0.02,9.75,0.2,1.89,0.6,39.53,38.84,65.4000000000001,50,0.67,0,32.43,0.28,5.45
0,3.8,0.08,0,0,1.19,1.38,0,0,0.12,0,2.49,0,0.02,12.03,42.5,0.1,4.19,111.76,93.0199999999999,85.6000000000001,251.2,0,0,26.27,0,11.19
1.06,0,0.88,33.76,2.81,0.1,11.67,1.17,0.28,1.22,0.3,1.11,5.26,0.03,0.34,21.56,3.3,0.38,6.12999999999999,7.58,28.4,19.6,12.28,0.18,5.82,0.41,2.14
1.16,8.6,0.08,6.23,3.83,14.35,10.94,2.45,0.31,0.91,0.34,37.3,24.82,0,1.21,4.4,11.94,0.56,0.75,1,0.4,1.2,8.25999999999999,0.72,13.84,26.67,16.7
0.1,30.8,0,6.87,21.85,1.32,32.16,2.95,7.02,4.92999999999999,0,2.78,34.5,0.02,10.9,11.84,18.89,0.56,0,0.06,0,0,0,0.04,26.4,3.1,1.55
12.33,10.8,29.84,23.01,13.25,12.46,2.53,0.04,7.51,8.13,18.65,23.53,11.93,0,17.03,20.69,9.32,2.85,0,0,0,0,0,0,11.25,6.83999999999999,27.39
9.66,7.8,59.46,1.48,8.12,21.85,22.63,0,8.71999999999999,19.61,3.91,23.63,0.24,0,3.18,2.04,13.89,1.7,0.15,1.03,0,0,0,0,0.32,1.77,20.66
9.12,0,8.09,23.87,9.03999999999999,0.1,13.92,0,3.09,21.34,12.42,0.02,9.64,0,0.08,0.08,2.92,3.95,0,0.1,0.4,0,0.06,1.05,0.06,2.22,16.97
1.39,0,0.06,0.06,0.36,0.08,0.08,0.02,0.02,0.26,0.1,1.05,0.55,0,0,0,2.13,37.65,4.3,2.49,7,16.8,0,0,0.5,0.1,0.04
0.06,7.6,3.32,0,0.06,0.02,0,0,0.16,0.18,0,9.73,0,0,0,0.2,0.02,38.45,24.09,3.06,0.6,13,0,0,0.04,19.32,0.1
8.71,0.6,0.22,33.08,13.35,4.15,2.15,2.73,13.08,0,5.26,6.33,16.33,0,0.44,3.65,4.81,36.21,8.06,23.81,7.8,14.8,3.24,0,0.52,0.08,6.74
23.23,0.6,0.16,9.47999999999999,39.45,14.02,13.62,4.74,25.56,0.2,4.88,33.4,32.88,0,1.51,0.08,48.25,4.53,3.72,8,9.6,4,0,0.04,41.46,1.38,15.14
0,5.2,0.1,4.88,2.13,6.97999999999999,0,16.94,4.92,9.60999999999999,1.92,0.52,10.59,0.02,0.22,13.2,0.99,1.88,0.38,1.91,3,3.2,0,0.02,11.97,3.22,13.96
